"filename", "language", "JSON", "YAML", "XML", "TypeScript JSX", "HTML", "C++", "CMake", "Markdown", "Swift", "Ruby", "Dart", "Properties", "comment", "blank", "total"
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/spiked_ball.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 11, 14, 76
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/spiked_ball_component.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 0, 27, 35, 197
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/spikes.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 17, 15, 97
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/trampoline.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 18, 21, 111
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/animation_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 1, 11
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/arrow_indicator.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 4, 8, 40
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 579, 0, 263, 110, 952
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/camera_culling.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 2, 20
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/cancelable_effects.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 57, 13, 109
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/corner_outline.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 6, 11, 61
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/curves.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/debug_components.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 23, 6, 64
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/dialog_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 0, 25, 22, 184
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/dialog_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 13, 10, 85
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/dots_indicator.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 11, 19, 112
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/dummy_character.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 24, 10, 83
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/game_safe_padding.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 4, 17
