"filename", "language", "JSON", "C++", "CMake", "XML", "TypeScript JSX", "YAML", "Dart", "Properties", "Markdown", "Swift", "Ruby", "HTML", "comment", "blank", "total"
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/ios/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/l10n.yaml", "YAML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/app_theme.dart", "Dart", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 12, 18, 116
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/data/audio/ambient_loop_emitter.dart", "Dart", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 16, 18, 97
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/data/audio/ambient_loop_manager.dart", "Dart", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 12, 18, 74
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/data/audio/audio_center.dart", "Dart", 0, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0, 52, 86, 417
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/data/audio/sounds.dart", "Dart", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 3, 13, 76
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/data/static/metadata/level_metadata.dart", "Dart", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 10, 62
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/data/static/metadata/world_metadata.dart", "Dart", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 10, 65
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/data/static/static_center.dart", "Dart", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 3, 7, 33
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/data/storage/entities/level_entity.dart", "Dart", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 8, 43
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/data/storage/entities/settings_entity.dart", "Dart", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 1, 8, 73
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/data/storage/entities/world_entity.dart", "Dart", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 24
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/data/storage/storage_center.dart", "Dart", 0, 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 0, 9, 27, 209
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/animations/spotlight.dart", "Dart", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 20, 19, 122
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/animations/star.dart", "Dart", 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 16, 32, 207
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/checkpoints/checkpoint.dart", "Dart", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 19, 21, 116
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/checkpoints/finish.dart", "Dart", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 9, 18, 92
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/checkpoints/start.dart", "Dart", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 7, 16, 84
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/collision/collision.dart", "Dart", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 7, 11, 61
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/collision/entity_collision.dart", "Dart", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/collision/world_collision.dart", "Dart", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 8, 11, 60
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/blue_bird.dart", "Dart", 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 24, 38, 216
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/chicken.dart", "Dart", 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 17, 34, 198
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/ghost.dart", "Dart", 0, 0, 0, 0, 0, 0, 209, 0, 0, 0, 0, 0, 21, 39, 269
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/ghost_particle.dart", "Dart", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 6, 10, 54
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/mushroom.dart", "Dart", 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 27, 36, 211
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/plant.dart", "Dart", 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 15, 27, 173
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/plant_bullet.dart", "Dart", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 8, 18, 98
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/slime.dart", "Dart", 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 0, 19, 37, 217
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/slime_particle.dart", "Dart", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 9, 15, 80
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/snail.dart", "Dart", 0, 0, 0, 0, 0, 0, 260, 0, 0, 0, 0, 0, 34, 57, 351
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/trunk.dart", "Dart", 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 42, 56, 353
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/trunk_bullet.dart", "Dart", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 9, 19, 106
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/turtle.dart", "Dart", 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 10, 24, 169
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/events/game_event_bus.dart", "Dart", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 61, 18, 141
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/events/game_events.dart", "Dart", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 8, 39
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/game.dart", "Dart", 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 21, 48, 279
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/game_router.dart", "Dart", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/game_settings.dart", "Dart", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 8, 9, 75
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/hud/game_hud.dart", "Dart", 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 21, 29, 240
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/hud/mini map/entity_on_mini_map.dart", "Dart", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 37, 17, 113
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/hud/mini map/mini_map.dart", "Dart", 0, 0, 0, 0, 0, 0, 192, 0, 0, 0, 0, 0, 71, 36, 299
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/hud/mini map/mini_map_arrow_layer.dart", "Dart", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 24, 13, 96
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/hud/mini map/mini_map_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 53, 40, 247
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/hud/pause_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 16, 25, 157
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/level/level.dart", "Dart", 0, 0, 0, 0, 0, 0, 640, 0, 0, 0, 0, 0, 84, 83, 807
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/level/loading/loading_dummy_character.dart", "Dart", 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 8, 22, 128
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/level/loading/loading_overlay.dart", "Dart", 0, 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 0, 10, 32, 216
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/level/mobile controls/joystick.dart", "Dart", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 6, 17, 113
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/level/mobile controls/jump_btn.dart", "Dart", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 6, 43
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/level/mobile controls/mobile_controls.dart", "Dart", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 4, 18, 96
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/level/player/player.dart", "Dart", 0, 0, 0, 0, 0, 0, 470, 0, 0, 0, 0, 0, 66, 101, 637
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/level/player/player_effects.dart", "Dart", 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 16, 37, 184
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/level/player/player_hitbox_position_provider.dart.dart", "Dart", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 5, 18
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/level/player/player_input.dart", "Dart", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 4, 13, 82
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/menu/menu_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 250, 0, 0, 0, 0, 0, 21, 44, 315
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/menu/widgets/character_bio.dart", "Dart", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 11, 24, 114
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/menu/widgets/character_picker.dart", "Dart", 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 4, 17, 142
