"filename", "language", "JSON", "XML", "Dart", "YAML", "Ruby", "Swift", "comment", "blank", "total"
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/enemies/plant_bullet.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/enemies/slime.dart", "Dart", 0, 0, 2, 0, 0, 0, 0, 0, 2
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/enemies/slime_particle.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/enemies/snail.dart", "Dart", 0, 0, 20, 0, 0, 0, 3, 4, 27
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/enemies/trunk.dart", "Dart", 0, 0, 3, 0, 0, 0, -1, 0, 2
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/enemies/trunk_bullet.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/enemies/turtle.dart", "Dart", 0, 0, 2, 0, 0, 0, 0, 0, 2
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/hud/entity_on_mini_map.dart", "Dart", 0, 0, 48, 0, 0, 0, 5, 14, 67
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/hud/game_hud.dart", "Dart", 0, 0, 65, 0, 0, 0, 2, 9, 76
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/hud/in_game_action_btn.dart", "Dart", 0, 0, -92, 0, 0, 0, -4, -20, -116
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/hud/jump_btn.dart", "Dart", 0, 0, -34, 0, 0, 0, 0, -6, -40
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/hud/mini_map.dart", "Dart", 0, 0, 126, 0, 0, 0, 36, 27, 189
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/hud/mini_map_view.dart", "Dart", 0, 0, 151, 0, 0, 0, 53, 44, 248
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/hud/pause_route.dart", "Dart", 0, 0, 41, 0, 0, 0, 10, 11, 62
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/level/background_szene.dart", "Dart", 0, 0, 13, 0, 0, 0, 1, 4, 18
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/level/level.dart", "Dart", 0, 0, 105, 0, 0, 0, 6, 16, 127
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/level/loading_dummy_character.dart", "Dart", 0, 0, 98, 0, 0, 0, 9, 23, 130
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/level/loading_overlay.dart", "Dart", 0, 0, 143, 0, 0, 0, 9, 29, 181
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/level/player.dart", "Dart", 0, 0, -12, 0, 0, 0, 0, -4, -16
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/level/player_special_effect.dart", "Dart", 0, 0, -2, 0, 0, 0, 0, -1, -3
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/level/tile_id_helper.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 8, 41
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/arrow_up.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/fan.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/fan_air_particle.dart", "Dart", 0, 0, 5, 0, 0, 0, 0, 0, 5
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/fire.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/fire_trap.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/moving_platform.dart", "Dart", 0, 0, 5, 0, 0, 0, 1, 1, 7
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/rock_head.dart", "Dart", 0, 0, 11, 0, 0, 0, 0, 0, 11
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/saw.dart", "Dart", 0, 0, 20, 0, 0, 0, 0, 0, 20
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/saw_circle.dart", "Dart", 0, 0, -110, 0, 0, 0, -30, -23, -163
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/saw_circle_component.dart", "Dart", 0, 0, 121, 0, 0, 0, 32, 25, 178
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/saw_circle_single_saw.dart", "Dart", 0, 0, 9, 0, 0, 0, 2, 1, 12
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/spike_head.dart", "Dart", 0, 0, 9, 0, 0, 0, 0, 0, 9
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/spiked_ball.dart", "Dart", 0, 0, -123, 0, 0, 0, -19, -32, -174
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/spiked_ball_ball.dart", "Dart", 0, 0, 5, 0, 0, 0, 2, 1, 8
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/spiked_ball_component.dart", "Dart", 0, 0, 129, 0, 0, 0, 21, 34, 184
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/spikes.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/utils/button.dart", "Dart", 0, 0, 262, 0, 0, 0, 174, 59, 495
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/utils/corner_outline.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 3, 32
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/utils/curves.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, 3, 15
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/utils/debug.dart", "Dart", 0, 0, 0, 0, 0, 0, 7, 0, 7
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/utils/dummy_character.dart", "Dart", 0, 0, 49, 0, 0, 0, 5, 10, 64
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/utils/game_safe_padding.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 4, 17
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/utils/input_blocker.dart", "Dart", 0, 0, 16, 0, 0, 0, 0, 6, 22
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/utils/jump_btn.dart", "Dart", 0, 0, 35, 0, 0, 0, 0, 6, 41
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/utils/load_sprites.dart", "Dart", 0, 0, 14, 0, 0, 0, -7, 2, 9
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/utils/position_provider.dart", "Dart", 0, 0, 22, 0, 0, 0, 0, 10, 32
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/utils/rrect.dart", "Dart", 0, 0, 5, 0, 0, 0, 0, 2, 7
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/utils/settings_notifier.dart", "Dart", 0, 0, 18, 0, 0, 0, 13, 7, 38
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/utils/utils.dart", "Dart", 0, 0, 7, 0, 0, 0, 1, 1, 9
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/utils/visible_components.dart", "Dart", 0, 0, 43, 0, 0, 0, 0, 5, 48
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/utils/volume.dart", "Dart", 0, 0, 6, 0, 0, 0, 0, 2, 8
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game_settings.dart", "Dart", 0, 0, 48, 0, 0, 0, 8, 10, 66
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/main.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 1, 29
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/menu/level_btn.dart", "Dart", 0, 0, -41, 0, 0, 0, -4, -12, -57
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/menu/menu_page.dart", "Dart", 0, 0, 171, 0, 0, 0, 7, 27, 205
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/menu/widgets/character_bio.dart", "Dart", 0, 0, 91, 0, 0, 0, 13, 28, 132
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/menu/widgets/character_picker.dart", "Dart", 0, 0, 149, 0, 0, 0, 5, 21, 175
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/menu/widgets/level_btn.dart", "Dart", 0, 0, 43, 0, 0, 0, 4, 12, 59
