"filename", "language", "JSON", "XML", "TypeScript JSX", "CMake", "YAML", "C++", "Dart", "Properties", "Markdown", "Ruby", "Swift", "HTML", "comment", "blank", "total"
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 7, 17
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/analysis_options.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/android/app/src/debug/AndroidManifest.xml", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/android/app/src/main/AndroidManifest.xml", "XML", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 46
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/android/app/src/main/res/values-night/styles.xml", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/android/app/src/main/res/values/styles.xml", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/android/app/src/profile/AndroidManifest.xml", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/android/gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
