"filename", "language", "XML", "TypeScript JSX", "CMake", "C++", "YAML", "Dart", "Properties", "Markdown", "Swift", "JSON", "HTML", "comment", "blank", "total"
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/linux/flutter/CMakeLists.txt", "CMake", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/linux/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/linux/flutter/generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/linux/flutter/generated_plugins.cmake", "CMake", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/linux/runner/CMakeLists.txt", "CMake", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/linux/runner/main.cc", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/linux/runner/my_application.cc", "C++", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/linux/runner/my_application.h", "C++", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 4, 11
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 1, 69
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/macos/Runner/Base.lproj/MainMenu.xib", "XML", 343, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 344
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/macos/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/pubspec.yaml", "YAML", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 46, 15, 129
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 15, 5, 39
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 1, 36
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/windows/CMakeLists.txt", "CMake", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/windows/flutter/CMakeLists.txt", "CMake", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/windows/flutter/generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/windows/flutter/generated_plugins.cmake", "CMake", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/windows/runner/CMakeLists.txt", "CMake", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/windows/runner/flutter_window.cpp", "C++", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/windows/runner/flutter_window.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/windows/runner/main.cpp", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/windows/runner/resource.h", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/windows/runner/utils.cpp", "C++", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/windows/runner/utils.h", "C++", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/windows/runner/win32_window.cpp", "C++", 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/windows/runner/win32_window.h", "C++", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 1467, 4, 461, 540, 74, 5554, 8, 13, 53, 248, 19, 1130, 1568, 11139
